id,x,y,z,timestamp
358,0.49,0.12,-0.24,2025-09-26T18:30:06.455396
359,0.55,0.12,-0.24,2025-09-26T18:30:06.457399
360,0.55,0.06,-0.24,2025-09-26T18:30:06.812785
361,0.55,0.12,-0.24,2025-09-26T18:30:07.120608
362,0.55,0.12,-0.24,2025-09-26T18:30:07.123575
363,0.55,0.06,-0.24,2025-09-26T18:30:07.376378
364,0.55,0.12,-0.24,2025-09-26T18:30:07.758255
365,0.55,0.06,-0.24,2025-09-26T18:30:07.763566
366,0.49,0.12,-0.24,2025-09-26T18:30:08.042100
367,0.49,0.12,-0.18,2025-09-26T18:30:08.299600
368,0.55,0.12,-0.24,2025-09-26T18:30:08.301378
369,0.55,0.12,-0.24,2025-09-26T18:30:08.608956
370,0.55,0.12,-0.24,2025-09-26T18:30:08.912180
371,0.55,0.06,-0.24,2025-09-26T18:30:08.914185
372,0.55,0.12,-0.24,2025-09-26T18:30:09.270193
373,0.55,0.12,-0.24,2025-09-26T18:30:09.671248
374,0.55,0.12,-0.24,2025-09-26T18:30:09.680685
375,0.55,0.06,-0.24,2025-09-26T18:30:09.992363
376,0.49,0.06,-0.24,2025-09-26T18:30:09.994693
377,0.49,0.06,-0.24,2025-09-26T18:30:10.445265
378,0.49,0.12,-0.24,2025-09-26T18:30:10.448013
379,0.55,0.12,-0.24,2025-09-26T18:30:10.782924
380,0.49,0.12,-0.24,2025-09-26T18:30:10.786796
381,0.49,0.12,-0.24,2025-09-26T18:30:11.035194
382,0.55,0.12,-0.24,2025-09-26T18:30:11.447221
383,0.49,0.12,-0.24,2025-09-26T18:30:11.451674
384,0.55,0.12,-0.24,2025-09-26T18:30:11.677438
385,0.55,0.12,-0.24,2025-09-26T18:30:11.984482
386,0.55,0.06,-0.24,2025-09-26T18:30:11.987284
387,0.55,0.06,-0.24,2025-09-26T18:30:12.351530
388,0.49,0.06,-0.24,2025-09-26T18:30:12.600499
389,0.49,0.12,-0.24,2025-09-26T18:30:12.603848
390,0.55,0.06,-0.24,2025-09-26T18:30:12.908777
391,0.61,0.06,-0.18,2025-09-26T18:30:13.233580
392,0.49,0.12,-0.24,2025-09-26T18:30:13.288218
393,0.55,0.06,-0.24,2025-09-26T18:30:13.550365
394,0.55,0.12,-0.24,2025-09-26T18:30:13.832236
395,0.49,0.12,-0.24,2025-09-26T18:30:13.835661
396,0.55,0.12,-0.18,2025-09-26T18:30:14.139424
397,0.49,0.12,-0.24,2025-09-26T18:30:14.442271
398,0.49,0.12,-0.24,2025-09-26T18:30:14.447979
399,0.49,0.12,-0.24,2025-09-26T18:30:14.749883
400,0.55,0.12,-0.24,2025-09-26T18:30:15.057615
401,0.49,0.12,-0.24,2025-09-26T18:30:15.061286
402,0.55,0.12,-0.24,2025-09-26T18:30:15.422105
403,0.55,0.12,-0.24,2025-09-26T18:30:15.720973
404,0.55,0.06,-0.18,2025-09-26T18:30:15.723336
405,0.55,0.12,-0.24,2025-09-26T18:30:16.019951
406,0.55,0.06,-0.24,2025-09-26T18:30:16.285100
407,0.49,0.06,-0.18,2025-09-26T18:30:16.292788
408,0.55,0.12,-0.24,2025-09-26T18:30:16.643518
409,0.61,0.12,-0.24,2025-09-26T18:30:16.910870
410,0.55,0.12,-0.18,2025-09-26T18:30:16.914663
411,0.55,0.06,-0.24,2025-09-26T18:30:17.209733
412,0.61,0.12,-0.24,2025-09-26T18:30:17.566433
413,0.49,0.12,-0.31,2025-09-26T18:30:17.569448
414,0.55,0.12,-0.24,2025-09-26T18:30:17.821371
415,0.55,0.06,-0.24,2025-09-26T18:30:18.128105
416,0.55,0.12,-0.24,2025-09-26T18:30:18.129695
417,0.55,0.06,-0.24,2025-09-26T18:30:18.438263
418,0.55,0.12,-0.24,2025-09-26T18:30:18.744227
419,0.55,0.06,-0.24,2025-09-26T18:30:18.746071
420,0.55,0.12,-0.24,2025-09-26T18:30:19.173233
421,0.55,0.12,-0.24,2025-09-26T18:30:19.458948
422,0.55,0.06,-0.24,2025-09-26T18:30:19.462373
423,0.55,0.12,-0.24,2025-09-26T18:30:19.767244
424,0.55,0.06,-0.24,2025-09-26T18:30:19.770775
425,0.55,0.06,-0.24,2025-09-26T18:30:20.151723
426,0.55,0.12,-0.24,2025-09-26T18:30:20.386587
427,0.55,0.12,-0.24,2025-09-26T18:30:20.389681
428,0.61,0.12,-0.24,2025-09-26T18:30:20.720954
429,0.49,0.12,-0.24,2025-09-26T18:30:21.046601
430,0.55,0.12,-0.18,2025-09-26T18:30:21.049144
431,0.55,0.12,-0.24,2025-09-26T18:30:21.355850
432,0.55,0.06,-0.24,2025-09-26T18:30:21.637067
433,0.49,0.12,-0.24,2025-09-26T18:30:21.644427
434,0.55,0.06,-0.24,2025-09-26T18:30:21.919601
435,0.55,0.12,-0.24,2025-09-26T18:30:22.279869
436,0.55,0.06,-0.24,2025-09-26T18:30:22.282518
437,0.49,0.06,-0.24,2025-09-26T18:30:22.685857
438,0.49,0.06,-0.24,2025-09-26T18:30:22.840572
439,0.55,0.12,-0.24,2025-09-26T18:30:22.842512
440,0.61,0.12,-0.18,2025-09-26T18:30:23.153729
441,0.49,0.12,-0.24,2025-09-26T18:30:23.453475
442,0.49,0.12,-0.18,2025-09-26T18:30:23.458536
443,0.61,0.12,-0.24,2025-09-26T18:30:23.809814
444,0.49,0.18,-0.31,2025-09-26T18:30:24.120028
445,0.55,0.12,-0.31,2025-09-26T18:30:24.122772
446,0.55,0.12,-0.24,2025-09-26T18:30:24.426195
447,0.55,0.06,-0.24,2025-09-26T18:30:24.714928
448,0.55,0.12,-0.24,2025-09-26T18:30:24.720794
449,0.55,0.06,-0.24,2025-09-26T18:30:25.135226
