x,y,z,timestamp
0.55,0.12,-0.24,2025-09-26 16:58:38.842
0.55,0.12,-0.24,2025-09-26 16:58:38.946
0.55,0.06,-0.24,2025-09-26 16:58:39.196
0.49,0.12,-0.24,2025-09-26 16:58:39.346
0.55,0.12,-0.31,2025-09-26 16:58:39.394
0.55,0.06,-0.18,2025-09-26 16:58:39.642
0.55,0.06,-0.18,2025-09-26 16:58:39.902
0.55,0.06,-0.24,2025-09-26 16:58:40.249
0.55,0.06,-0.24,2025-09-26 16:58:40.344
0.49,0.12,-0.24,2025-09-26 16:58:40.792
0.55,0.06,-0.31,2025-09-26 16:58:41.094
0.55,0.06,-0.24,2025-09-26 16:58:41.146
0.55,0.12,-0.24,2025-09-26 16:58:41.201
0.55,0.06,-0.24,2025-09-26 16:58:41.243
0.55,0.12,-0.24,2025-09-26 16:58:41.450
0.55,0.06,-0.24,2025-09-26 16:58:41.494
0.55,0.06,-0.24,2025-09-26 16:58:41.542
0.49,0.12,-0.24,2025-09-26 16:58:41.745
0.55,0.12,-0.24,2025-09-26 16:58:42.147
0.61,0.12,-0.24,2025-09-26 16:58:42.200
0.55,0.12,-0.24,2025-09-26 16:58:42.344
0.49,0.12,-0.24,2025-09-26 16:58:42.502
0.55,0.12,-0.24,2025-09-26 16:58:42.893
